how,filas tras el merge,filas tras quitar rating 6,% de opiniones conservadas,% nulos promedio (cols. libros),% nulos promedio (cols. lectores),% clase 1 (gustó)
left,479827,389508,100.0,0.27,8.12,83.88
inner,478870,388720,99.801,0.1,8.09,83.89
